
id	name	protocol	date	block	task	state	include
002	chala	MEDIT	20160602	01	SMEG	RS	1
002	chala	MEDIT	20160602	02	SMEG	FA	1
002	chala	MEDIT	20160602	03	SMEG	RS_postFA	1
002	chala	MEDIT	20160602	04	SMEG	OM	1
002	chala	MEDIT	20160602	05	SMEG	RS_postOM	1
004	fouis	MEDIT	20160602	01	SMEG	RS	1
004	fouis	MEDIT	20160602	02	SMEG	OM	1
004	fouis	MEDIT	20160602	03	SMEG	RS_postOM	1
004	fouis	MEDIT	20160602	04	SMEG	FA	1
004	fouis	MEDIT	20160602	05	SMEG	RS_postFA	1
007	joufr	MEDIT	20160613	01	SMEG	RS	1
007	joufr	MEDIT	20160613	02	SMEG	FA	1
007	joufr	MEDIT	20160613	03	SMEG	RS_postFA	1
007	joufr	MEDIT	20160613	04	SMEG	OM	1
007	joufr	MEDIT	20160613	05	SMEG	RS_postOM	1
010	arial	MEDIT	20160620	01	SMEG	RS	1
010	arial	MEDIT	20160620	03	SMEG	FA1	1
010	arial	MEDIT	20160620	04	SMEG	FA2	1
010	arial	MEDIT	20160620	06	SMEG	OM1	1
010	arial	MEDIT	20160620	07	SMEG	OM2	1
011	zudma	MEDIT	20160523	01	SMEG	RS	0
011	zudma	MEDIT	20160523	02	SMEG	FA	0
011	zudma	MEDIT	20160523	03	SMEG	OM	0
011	zudma	MEDIT	20160523	04	SMEG	CO	0
012	terbe	MEDIT	20160620	01	SMEG	RS	1
012	terbe	MEDIT	20160620	03	SMEG	OM1	1
012	terbe	MEDIT	20160620	04	SMEG	OM2	1
012	terbe	MEDIT	20160620	06	SMEG	FA1	1
012	terbe	MEDIT	20160620	07	SMEG	FA2	1
012	terbe	WIM	20160620	01	WIM	no	1
012	terbe	WIM	20160620	02	WIM	no	1
012	terbe	WIM	20160620	03	WIM	no	1
012	terbe	WIM	20160620	04	WIM	no	1
012	terbe	WIM	20160620	05	WIM	no	1
012	terbe	WIM	20160620	06	WIM	no	1
012	terbe	WIM	20160620	07	WIM	no	1
012	terbe	WIM	20160620	08	WIM	no	1
012	terbe	WIM	20160620	09	WIM	no	1
012	terbe	WIM	20160620	10	WIM	no	1
012	terbe	WIM	20160620	11	WIM	no	1
012	terbe	WIM	20160620	12	WIM	no	1
014	jacpa	MEDIT	20160713	01	SMEG	RS	1
014	jacpa	MEDIT	20160713	03	SMEG	OM1	1
014	jacpa	MEDIT	20160713	04	SMEG	OM2	1
014	jacpa	MEDIT	20160713	06	SMEG	FA1	1
014	jacpa	MEDIT	20160713	07	SMEG	FA2	1
016	minso	MEDIT	20160613	01	SMEG	RS	1
016	minso	MEDIT	20160613	02	SMEG	OM	1
016	minso	MEDIT	20160613	03	SMEG	RS_postOM	1
016	minso	MEDIT	20160613	04	SMEG	FA	1
016	minso	MEDIT	20160613	05	SMEG	RS_postFA	1
018	margi	MEDIT	20160704	01	SMEG	RS	1
018	margi	MEDIT	20160704	03	SMEG	OM1	1
018	margi	MEDIT	20160704	04	SMEG	OM2	1
018	margi	MEDIT	20160704	06	SMEG	FA1	1
018	margi	MEDIT	20160704	07	SMEG	FA2	1
019	maran	MEDIT	20160704	01	SMEG	RS	1
019	maran	MEDIT	20160704	03	SMEG	FA1	1
019	maran	MEDIT	20160704	04	SMEG	FA2	1
019	maran	MEDIT	20160704	06	SMEG	OM1	1
019	maran	MEDIT	20160704	07	SMEG	OM2	1
021	lagso	MEDIT	20160713	01	SMEG	RS	1
021	lagso	MEDIT	20160713	03	SMEG	FA1	1
021	lagso	MEDIT	20160713	04	SMEG	FA2	1
021	lagso	MEDIT	20160713	06	SMEG	OM1	1
021	lagso	MEDIT	20160713	07	SMEG	OM2	1
pilot_savar	ar	mimosa	20170607	01	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	02	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	03	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	04	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	05	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	06	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	07	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	08	MIMOSA	no	0
pilot_savar	ar	mimosa	20170607	09	MIMOSA	RS	0
037	kobvi	mimosa	20170619	01	SMEG	RS	1
037	kobvi	mimosa	20170619	02	SMEG	FA	1
037	kobvi	mimosa	20170619	03	MIMOSA	FA	1
037	kobvi	mimosa	20170619	04	MIMOSA	FA	1
037	kobvi	mimosa	20170619	05	MIMOSA	FA	1
037	kobvi	mimosa	20170619	06	SMEG	OM	1
037	kobvi	mimosa	20170619	07	MIMOSA	OM	1
037	kobvi	mimosa	20170619	08	MIMOSA	OM	1
037	kobvi	mimosa	20170619	09	MIMOSA	OM	1
037	kobvi	mimosa	20170619	10	SMEG	FA	1
037	kobvi	mimosa	20170619	11	MIMOSA	FA	1
037	kobvi	mimosa	20170619	12	MIMOSA	FA	1
037	kobvi	mimosa	20170619	13	MIMOSA	FA	1
037	kobvi	mimosa	20170619	14	SMEG	OM	1
037	kobvi	mimosa	20170619	15	MIMOSA	OM	1
037	kobvi	mimosa	20170619	16	MIMOSA	OM	1
037	kobvi	mimosa	20170619	17	MIMOSA	OM	1
032	egrje	mimosa	20170622	01	SMEG	RS	1
032	egrje	mimosa	20170622	02	SMEG	FA	1
032	egrje	mimosa	20170622	03	MIMOSA	FA	1
032	egrje	mimosa	20170622	04	MIMOSA	FA	1
032	egrje	mimosa	20170622	05	MIMOSA	FA	1
032	egrje	mimosa	20170622	06	SMEG	OM	1
032	egrje	mimosa	20170622	07	MIMOSA	OM	1
032	egrje	mimosa	20170622	08	MIMOSA	OM	1
032	egrje	mimosa	20170622	09	MIMOSA	OM	1
032	egrje	mimosa	20170622	10	SMEG	OM	1
032	egrje	mimosa	20170622	11	MIMOSA	OM	1
032	egrje	mimosa	20170622	12	MIMOSA	OM	1
032	egrje	mimosa	20170622	13	MIMOSA	OM	1
032	egrje	mimosa	20170622	14	SMEG	FA	1
032	egrje	mimosa	20170622	15	MIMOSA	FA	1
032	egrje	mimosa	20170622	16	MIMOSA	FA	1
032	egrje	mimosa	20170622	17	MIMOSA	FA	1
040	leych	mimosa	20170629	01	SMEG	no	1
040	leych	mimosa	20170629	02	SMEG	no	1
040	leych	mimosa	20170629	03	MIMOSA	no	1
040	leych	mimosa	20170629	04	MIMOSA	no	1
040	leych	mimosa	20170629	05	MIMOSA	no	1
040	leych	mimosa	20170629	06	SMEG	no	1
040	leych	mimosa	20170629	07	MIMOSA	no	1
040	leych	mimosa	20170629	08	MIMOSA	no	1
040	leych	mimosa	20170629	09	MIMOSA	no	1
040	leych	mimosa	20170629	10	SMEG	no	1
040	leych	mimosa	20170629	11	MIMOSA	no	1
040	leych	mimosa	20170629	12	MIMOSA	no	1
040	leych	mimosa	20170629	13	MIMOSA	no	1
040	leych	mimosa	20170629	14	SMEG	no	1
040	leych	mimosa	20170629	15	MIMOSA	no	1
040	leych	mimosa	20170629	16	MIMOSA	no	1
040	leych	mimosa	20170629	17	MIMOSA	no	1
test



	

